haplotype,p0,p1,p5,p50,p95,p99,p100
BoLA-212:01,6.53,17.139499999999998,33.767500000000005,641,6908.9565,10725.064700000004,17428.96
BoLA-613:01,3.79,57.558400000000006,823.3140000000001,20408.14,32962.58849999999,35437.087700000004,38303.43
BoLA-A11:01,8.7,49.4964,168.019,2883.6400000000003,11821.726999999995,16291.731200000006,22485.95
Eqca-101:01,59.74,2465.4593,11100.8615,36112.2,43160.316000000006,44107.9239,45290.13
H-2-Db,27.77,1537.2089,8111.203000000001,33844.509999999995,42220.096000000005,43586.9423,45046.24
H-2-Dd,13.45,2417.673,10016.065,32073.77,38859.907,40210.8755,41692.11
H-2-Kb,5.49,207.88980000000004,1536.0300000000002,19984.555,34095.5185,37143.06780000001,41296.34
H-2-Kd,5.27,324.6172,2653.3804999999998,26155.214999999997,40116.085999999996,42725.00940000001,45129.86
H-2-Kk,1.89,10.6,64.326,9882.404999999999,31491.271,35847.35590000001,39588.97
H-2-Ld,11.74,398.4009000000001,3918.836,29009.965,38757.038,40618.4167,42533.56
HLA-A01:01,344.84,5380.4283,5421.889,5446.64,5478.9115,5519.355300000001,6237.26
HLA-A02:01,536.82,4717.8151,5549.977499999999,5602.54,5670.9580000000005,5799.2931,6067.81
HLA-A02:02,1.06,23.7195,701.3675000000001,24142.545,40636.026999999995,43291.92600000001,45708.7
HLA-A02:03,538.55,5546.3452,6043.147999999999,6116.06,6148.4315,6167.8315999999995,6256.72
HLA-A02:05,5.13,94.7398,822.0525,11423.02,23931.654499999993,27462.8293,31458.16
HLA-A02:06,1.54,24.215500000000002,480.0270000000001,20246.155,36365.880499999985,39526.2626,42800.99
HLA-A02:07,507.96,4165.283899999999,5779.391,6056.215,6117.92,6139.7618,6206.38
HLA-A02:11,1.08,1.6298000000000001,34.30250000000001,23819.09,36282.663,39463.731900000006,45013.07
HLA-A02:12,1.24,9.2492,1918.2540000000008,26810.89,34407.9215,36443.71960000001,40287.13
HLA-A02:16,1.22,5.8089,1525.4995000000008,28271.675,35144.0145,36697.051699999996,39860.1
HLA-A02:17,7.08,455.4476,3188.854,21451.895,32646.611499999995,35241.8043,38585.85
HLA-A02:19,1.66,67.4988,7842.4130000000005,28264.015,32680.655,33751.9962,35687.83
HLA-A02:50,1.01,1.18,3.539000000000001,23112.574999999997,46557.23849999999,48173.6615,49351.94
HLA-A03:01,547.46,4481.286,5576.672500000001,5637.275,5680.403499999999,5721.910699999999,5883.38
HLA-A03:19,9.91,2432.2110000000007,10898.806499999999,35467.520000000004,42841.2215,43778.8858,45191.82
HLA-A11:01,8.76,120.8282,3896.2310000000025,27796.93,34912.065,35973.7623,37184.87
HLA-A23:01,2.5,101.68070000000002,1769.1365000000005,30719.885000000002,42013.667,43602.3909,45281.19
HLA-A24:01,14.98,118.19150000000002,358.771,2910.325,8368.4565,11700.349400000001,18037.44
HLA-A24:02,457.72,3389.2826,5222.0109999999995,5395.83,5448.251499999999,5619.0534,6153.79
