haplotype,p0,p1,p5,p50,p95,p99,p100
HLA-B15:02,93.06,130.46130000000002,280.06649999999996,3440.26,19370.13649999999,22576.8113,23378.48
HLA-B15:03,448.24,474.94930000000005,581.7864999999999,11029.925,32262.283999999996,33865.5368,34266.35
HLA-B15:09,8565.39,8751.1221,9494.0505,18608.815000000002,24151.86799999999,26400.0536,26962.1
HLA-B15:16,9597.49,9735.4879,10287.4795,30169.335,40619.73199999999,42897.610400000005,43467.08
HLA-B15:17,8003.86,8768.3956,11826.538,27018.71,31224.368499999997,31986.6577,32177.23
HLA-B15:42,5484.77,5978.0915,7951.3775000000005,22286.89,27121.817999999992,28774.5636,29187.75
HLA-B18:01,227.49,2088.969000000002,9534.885,27701.09,32361.550000000003,33097.606,33281.62
HLA-B27:01,110.9,116.2532,137.666,17145.925,34976.7355,35755.275100000006,35949.91
HLA-B27:02,119.95,164.46580000000006,342.529,1916.645,3318.7419999999993,3539.9404,3595.24
HLA-B27:03,16593.9,17286.4896,20056.848,26443.54,28009.153,28265.8546,28330.03
HLA-B27:04,946.22,1229.3987000000002,2362.1135,16097.07,23451.680999999993,26043.1122,26690.97
HLA-B27:05,367.21,2519.4655000000016,11128.4875,35469.64,37582.293,37827.330599999994,37888.59
HLA-B27:06,757.61,1022.2748000000001,2080.9339999999997,15806.54,23288.43499999999,26013.671,26694.98
HLA-B27:09,3299.76,3432.9645,3965.7825000000003,22619.04,28728.091999999997,30022.5944,30346.22
HLA-B27:20,1752.23,2198.3402000000006,3982.781,23140.89,29698.490499999993,31909.8661,32462.71
HLA-B35:01,5480.18,5500.862,5583.59,6585.85,6830.02,6835.996,6837.49
HLA-B35:03,18154.27,18197.5249,18370.544500000004,22829.440000000002,32584.11149999999,34527.5103,35013.36
HLA-B35:08,1426.78,1755.0379000000003,3068.0694999999996,18081.46,26060.576999999994,28516.259400000003,29130.18
HLA-B37:01,4508.62,4839.3565,6162.3025,16870.845,21009.6265,22238.4613,22545.67
HLA-B38:01,10365.98,10630.065200000001,11686.405999999999,25661.510000000002,31542.748999999996,32921.9738,33266.78
HLA-B39:01,5818.61,7195.5362000000005,12703.241,26715.78,31842.1645,32235.7129,32334.1
HLA-B39:06,409.12,489.7789000000001,812.4144999999999,10435.314999999999,29410.187499999993,31179.245499999997,31621.51
HLA-B40:01,30956.04,31174.488,32048.28,35695.875,39318.69499999999,39358.331,39368.24
HLA-B40:02,19586.83,20477.1136,24038.248,36931.84,42982.280999999995,43942.7682,44182.89
HLA-B40:13,2839.47,3311.0385,5197.3125,35748.295,43153.695,43201.539,43213.5
HLA-B42:01,1290.64,1787.7019000000007,3775.9494999999997,17152.08,37947.507,39091.06139999999,39376.95
HLA-B44:01,2167.44,2181.8022,2239.251,5706.264999999999,20062.317499999983,25277.367500000004,26581.13
HLA-B44:02,4901.04,4907.1879,4931.779500000001,4974.885,4994.379999999999,4999.276,5000.5
HLA-B44:03,5110.28,5190.0497,5509.1285,6073.139999999999,6109.889499999999,6115.1059000000005,6116.41
HLA-B45:01,13577.66,14773.219100000002,19555.4555,35396.875,39447.799499999994,40859.1039,41211.93
HLA-B45:06,5943.38,5946.344599999999,5958.2029999999995,6649.22,7594.161,7775.1762,7820.43
