q,ic50
0,13.31
0.01,251.90220000000002
0.02,934.4070000000004
0.03,2005.0082999999997
0.04,3340.2184000000007
0.05,4998.427500000001
0.06,7340.864999999999
0.07,9217.4927
0.08,11327.636
0.09,12985.0952
0.1,14616.718
0.11,15920.5729
0.12,17361.482399999997
0.13,18598.644900000007
0.14,19707.099000000002
0.15,20771.830499999996
0.16,21700.9676
0.17,22620.4927
0.18,23366.0742
0.19,24231.152
0.2,25049.764
0.21,25741.655199999997
0.22,26354.5894
0.23,26842.1643
0.24,27359.199599999996
0.25,27812.3325
0.26,28240.306
0.27,28624.7313
0.28,29046.5488
0.29,29449.0754
0.3,29768.150999999998
0.31,30098.0081
0.32,30385.072
0.33,30695.3545
0.34,30991.6908
0.35000000000000003,31239.900499999996
0.36,31470.1596
0.37,31703.5901
0.38,31915.9032
0.39,32118.720699999998
0.4,32315.332
0.41000000000000003,32523.6939
0.42,32695.713799999998
0.43,32890.3877
0.44,33059.838
0.45,33211.586500000005
0.46,33381.8734
0.47000000000000003,33519.776
0.48,33670.5088
0.49,33792.461800000005
0.5,33935.744999999995
0.51,34062.754799999995
0.52,34207.69960000001
0.53,34333.2963
0.54,34461.031
0.55,34585.490000000005
0.56,34723.614400000006
0.5700000000000001,34830.1916
0.58,34924.7468
0.59,35018.1092
0.6,35128.858
0.61,35226.9639
0.62,35328.303400000004
0.63,35410.8969
0.64,35519.318
0.65,35621.402
0.66,35718.711800000005
0.67,35819.7052
0.68,35909.5924
0.6900000000000001,35987.722
0.7000000000000001,36070.933000000005
0.71,36154.819
0.72,36223.6508
0.73,36302.566699999996
0.74,36381.1
0.75,36461.39749999999
0.76,36533.2608
0.77,36608.7811
0.78,36681.4524
0.79,36762.4004
0.8,36845.954000000005
0.81,36916.7617
0.8200000000000001,36982.0538
0.8300000000000001,37063.821599999996
0.84,37135.6444
0.85,37205.2435
0.86,37268.4942
0.87,37331.2926
0.88,37414.6844
0.89,37500.9632
0.9,37590.303
0.91,37664.8724
0.92,37743.7328
0.93,37834.5867
0.9400000000000001,37925.7514
0.9500000000000001,38017.45850000001
0.96,38119.3816
0.97,38231.94530000001
0.98,38373.8528
0.99,38576.325999999994
1,39190.72
