q,ic50
0,4.34
0.01,91.74430000000001
0.02,249.46800000000002
0.03,460.61019999999985
0.04,689.5448
0.05,1015.6615000000002
0.06,1431.7112
0.07,1879.232600000001
0.08,2314.0212
0.09,2826.6906
0.1,3389.690000000001
0.11,4014.1357000000003
0.12,4701.598
0.13,5384.7031
0.14,6130.5336
0.15,6903.371999999999
0.16,7664.7984
0.17,8383.549700000003
0.18,9000.2038
0.19,9816.3331
0.2,10511.018
0.21,11236.4208
0.22,11850.136800000004
0.23,12547.793699999998
0.24,13216.002
0.25,13851.385
0.26,14504.929800000005
0.27,15290.2506
0.28,15910.4284
0.29,16686.5053
0.3,17480.333
0.31,17998.250200000002
0.32,18610.6788
0.33,19192.9974
0.34,19732.458
0.35000000000000003,20502.6015
0.36,21117.482
0.37,21613.3355
0.38,22383.0102
0.39,23043.4815
0.4,23581.668
0.41000000000000003,24078.7942
0.42,24626.8402
0.43,25111.3977
0.44,25584.9356
0.45,26125.444000000003
0.46,26602.9306
0.47000000000000003,27017.978300000002
0.48,27554.207199999997
0.49,28035.3526
0.5,28463.64
0.51,28972.7053
0.52,29416.279200000004
0.53,29880.8834
0.54,30254.886
0.55,30694.158500000005
0.56,31091.272800000006
0.5700000000000001,31475.841500000002
0.58,31821.766599999995
0.59,32201.588800000005
0.6,32566.283999999996
0.61,32974.545099999996
0.62,33381.0198
0.63,33748.9843
0.64,34061.59360000001
0.65,34379.8975
0.66,34684.3396
0.67,35026.5261
0.68,35315.1988
0.6900000000000001,35581.8888
0.7000000000000001,35861.702000000005
0.71,36124.9
0.72,36375.5972
0.73,36688.287
0.74,36983.6412
0.75,37261.04
0.76,37559.7884
0.77,37879.7519
0.78,38150.6834
0.79,38429.158299999996
0.8,38671.722
0.81,38939.82890000001
0.8200000000000001,39176.4294
0.8300000000000001,39410.974
0.84,39643.841199999995
0.85,39857.8655
0.86,40099.7134
0.87,40346.4148
0.88,40599.336
0.89,40887.2826
0.9,41179.477
0.91,41448.1595
0.92,41719.6812
0.93,41997.200699999994
0.9400000000000001,42287.13580000001
0.9500000000000001,42625.6
0.96,42934.8796
0.97,43275.59149999999
0.98,43641.4412
0.99,44199.4502
1,45705.34
