q,ic50
0,7.82
0.01,469.03790000000004
0.02,918.0488
0.03,1470.6906
0.04,2186.0512000000012
0.05,2842.5325000000003
0.06,3594.3879999999995
0.07,4554.779700000001
0.08,5301.2155999999995
0.09,6142.506199999999
0.1,7103.622000000001
0.11,8058.1967
0.12,8984.0984
0.13,9920.4463
0.14,10804.5432
0.15,11780.7055
0.16,12667.952800000003
0.17,13443.812999999998
0.18,14409.537199999999
0.19,15295.4226
0.2,16104.556
0.21,16939.0932
0.22,17740.558
0.23,18548.5497
0.24,19215.4804
0.25,19894.137499999997
0.26,20471.2606
0.27,21104.1734
0.28,21979.6496
0.29,22652.311699999987
0.3,23309.18
0.31,24053.2814
0.32,24639.1636
0.33,25232.4755
0.34,25856.898
0.35000000000000003,26340.4715
0.36,26942.501599999996
0.37,27588.9371
0.38,28099.9208
0.39,28630.5471
0.4,29111.732
0.41000000000000003,29556.3545
0.42,30081.362399999998
0.43,30597.1267
0.44,31098.2304
0.45,31517.541
0.46,31987.744400000003
0.47000000000000003,32383.2416
0.48,32773.4908
0.49,33153.852
0.5,33548.03
0.51,33952.0848
0.52,34399.947199999995
0.53,34764.979900000006
0.54,35141.5722
0.55,35478.8415
0.56,35794.8336
0.5700000000000001,36138.1851
0.58,36423.163799999995
0.59,36730.7472
0.6,37102.832
0.61,37373.451700000005
0.62,37699.8938
0.63,38007.898799999995
0.64,38316.676
0.65,38650.689
0.66,38944.0798
0.67,39223.9003
0.68,39513.3188
0.6900000000000001,39742.9213
0.7000000000000001,39987.632000000005
0.71,40235.1676
0.72,40484.0904
0.73,40708.6949
0.74,40929.947400000005
0.75,41167.3225
0.76,41434.918399999995
0.77,41657.4402
0.78,41888.127400000005
0.79,42153.5476
0.8,42408.062
0.81,42677.3422
0.8200000000000001,42916.599
0.8300000000000001,43134.168900000004
0.84,43365.6312
0.85,43563.87300000001
0.86,43820.77
0.87,44058.73559999999
0.88,44263.4728
0.89,44504.841100000005
0.9,44753.708
0.91,44948.5273
0.92,45164.434
0.93,45345.018599999996
0.9400000000000001,45561.1768
0.9500000000000001,45811.691500000015
0.96,46080.691999999995
0.97,46391.2711
0.98,46702.0628
0.99,47108.907400000004
1,48002.7
