q,ic50
0,47.88
0.01,255.7708
0.02,337.72700000000003
0.03,407.0808
0.04,471.76079999999996
0.05,524.6905
0.06,572.3768
0.07,626.5557
0.08,668.6156
0.09,720.872
0.1,770.6310000000001
0.11,814.8746000000001
0.12,864.4159999999999
0.13,908.3896000000001
0.14,953.0494
0.15,993.0475000000001
0.16,1032.5692000000001
0.17,1080.5249
0.18,1118.8414
0.19,1162.7041
0.2,1204.3039999999999
0.21,1252.0618
0.22,1298.3296
0.23,1345.5971000000002
0.24,1389.6984
0.25,1442.58
0.26,1481.9944000000003
0.27,1520.1837
0.28,1570.4996
0.29,1613.201
0.3,1659.7999999999997
0.31,1704.8838
0.32,1750.8164000000002
0.33,1799.7437
0.34,1850.4624
0.35000000000000003,1906.2725000000005
0.36,1965.2804
0.37,2011.8578000000002
0.38,2072.317
0.39,2125.4648
0.4,2183.308
0.41000000000000003,2226.7108
0.42,2289.3536000000004
0.43,2340.32
0.44,2400.9276000000004
0.45,2462.8914999999997
0.46,2517.4120000000003
0.47000000000000003,2569.7832000000003
0.48,2629.5831999999996
0.49,2687.7155000000002
0.5,2744.4700000000003
0.51,2819.1053
0.52,2883.0692
0.53,2942.0947
0.54,3010.9638
0.55,3079.2650000000003
0.56,3154.3128000000006
0.5700000000000001,3236.5087
0.58,3306.7298
0.59,3374.0355999999997
0.6,3448.2
0.61,3516.2436999999995
0.62,3609.8622
0.63,3697.4643000000005
0.64,3778.71
0.65,3857.1555000000008
0.66,3926.7278
0.67,4024.3664
0.68,4109.8264
0.6900000000000001,4212.0623000000005
0.7000000000000001,4301.443000000002
0.71,4410.999099999999
0.72,4519.0156
0.73,4617.996499999999
0.74,4728.715800000001
0.75,4830.33
0.76,4947.6395999999995
0.77,5081.553500000002
0.78,5205.3460000000005
0.79,5364.061699999999
0.8,5504.872000000001
0.81,5645.618700000003
0.8200000000000001,5830.519
0.8300000000000001,6013.553100000001
0.84,6218.915999999999
0.85,6418.516
0.86,6619.193599999999
0.87,6804.7873
0.88,7045.634800000002
0.89,7315.346399999999
0.9,7544.441
0.91,7835.5672
0.92,8143.9511999999995
0.93,8474.9829
0.9400000000000001,8903.821800000005
0.9500000000000001,9408.619000000008
0.96,9866.835199999996
0.97,10473.647099999998
0.98,11425.408200000013
0.99,12916.952300000008
1,21942.11
