q,ic50
0,1.63
0.01,5.55
0.02,9.628800000000002
0.03,15.408499999999998
0.04,23.636000000000006
0.05,34.4765
0.06,51.80619999999999
0.07,70.00880000000001
0.08,89.88880000000003
0.09,113.8719
0.1,142.51000000000002
0.11,175.5997000000001
0.12,222.46039999999996
0.13,271.0332
0.14,321.37100000000015
0.15,389.65649999999994
0.16,462.27160000000026
0.17,534.5167000000001
0.18,633.662
0.19,744.2408
0.2,861.676
0.21,994.3862999999999
0.22,1144.1908
0.23,1326.3455
0.24,1489.6635999999992
0.25,1687.53
0.26,1845.3372000000002
0.27,2022.0201000000002
0.28,2218.1648000000014
0.29,2441.5803999999966
0.3,2653.0329999999994
0.31,2870.0397000000003
0.32,3100.1312000000016
0.33,3340.9674
0.34,3606.4564
0.35000000000000003,3861.7015
0.36,4165.686
0.37,4479.9668
0.38,4777.072
0.39,5081.8703000000005
0.4,5369.558000000001
0.41000000000000003,5644.0932
0.42,5952.5034
0.43,6239.2004
0.44,6567.1
0.45,6918.2155
0.46,7274.4358
0.47000000000000003,7563.938700000001
0.48,7938.657999999998
0.49,8245.6206
0.5,8577.765
0.51,8911.5857
0.52,9210.6416
0.53,9573.951099999998
0.54,9906.848
0.55,10344.4535
0.56,10727.3304
0.5700000000000001,11098.373200000002
0.58,11480.135999999999
0.59,11840.9326
0.6,12176.185999999998
0.61,12490.3104
0.62,12878.5916
0.63,13200.628499999999
0.64,13577.0272
0.65,13998.27
0.66,14395.071600000001
0.67,14758.475000000006
0.68,15145.666800000003
0.6900000000000001,15440.948200000003
0.7000000000000001,15815.989000000005
0.71,16218.533899999999
0.72,16612.6112
0.73,17070.220399999995
0.74,17533.086000000003
0.75,17969.945
0.76,18385.296799999996
0.77,18818.572099999998
0.78,19303.3688
0.79,19713.3842
0.8,20183.266000000003
0.81,20715.935700000002
0.8200000000000001,21236.6574
0.8300000000000001,21695.4658
0.84,22179.9044
0.85,22718.153499999997
0.86,23208.114399999988
0.87,23722.46869999999
0.88,24165.206800000007
0.89,24752.892900000003
0.9,25362.065000000002
0.91,25914.1584
0.92,26460.170000000002
0.93,27075.79999999999
0.9400000000000001,27819.773600000004
0.9500000000000001,28553.30700000001
0.96,29464.6164
0.97,30630.79369999999
0.98,31897.685600000004
0.99,33283.835200000016
1,39701.87
