q,ic50
0,12.82
0.01,91.8396
0.02,165.80240000000003
0.03,264.3182
0.04,378.22560000000004
0.05,529.9265
0.06,659.459
0.07,816.1880000000001
0.08,1006.9212
0.09,1214.9573
0.1,1440.8160000000005
0.11,1635.2003000000004
0.12,1914.0063999999998
0.13,2109.1356000000005
0.14,2396.4808000000007
0.15,2659.6744999999996
0.16,2922.572000000002
0.17,3206.5838
0.18,3496.0044
0.19,3797.7304
0.2,4091.0060000000003
0.21,4444.3969
0.22,4753.7638000000015
0.23,5123.6162
0.24,5515.964399999999
0.25,5887.54
0.26,6251.804200000001
0.27,6592.8467
0.28,6938.8348000000005
0.29,7271.067899999996
0.3,7635.333999999999
0.31,7957.2907000000005
0.32,8335.460000000001
0.33,8705.346399999999
0.34,9153.9732
0.35000000000000003,9557.661
0.36,9961.4292
0.37,10357.232100000001
0.38,10713.9574
0.39,11097.170600000001
0.4,11518.028
0.41000000000000003,11868.252
0.42,12342.0852
0.43,12703.1845
0.44,13078.52640000001
0.45,13499.3465
0.46,13866.7336
0.47000000000000003,14347.685100000002
0.48,14804.720799999997
0.49,15200.742600000001
0.5,15579.175
0.51,15990.321199999998
0.52,16403.339200000002
0.53,16825.7028
0.54,17273.2972
0.55,17689.4445
0.56,18054.3096
0.5700000000000001,18488.248200000002
0.58,18854.607799999994
0.59,19381.7492
0.6,19856.792
0.61,20233.2317
0.62,20649.7742
0.63,20996.3555
0.64,21356.376800000002
0.65,21797.007
0.66,22206.7586
0.67,22679.9237
0.68,23122.756800000003
0.6900000000000001,23574.446900000003
0.7000000000000001,23997.042000000005
0.71,24454.3885
0.72,24872.512
0.73,25424.3203
0.74,25849.661799999998
0.75,26276.089999999997
0.76,26761.3996
0.77,27223.190300000006
0.78,27632.2246
0.79,28111.3752
0.8,28535.846000000005
0.81,28971.0503
0.8200000000000001,29487.106
0.8300000000000001,29954.9724
0.84,30394.992000000002
0.85,30766.9995
0.86,31218.7012
0.87,31610.391899999995
0.88,32036.127200000003
0.89,32461.290300000008
0.9,32899.01500000001
0.91,33406.9043
0.92,33859.850399999996
0.93,34380.121400000004
0.9400000000000001,34868.1944
0.9500000000000001,35420.1695
0.96,35985.736
0.97,36649.01359999999
0.98,37448.80180000001
0.99,38260.77240000001
1,40009.27
