q,ic50
0,5.56
0.01,172.7583
0.02,394.76660000000004
0.03,596.1152
0.04,857.2164
0.05,1170.231
0.06,1437.6284
0.07,1702.3299000000002
0.08,1983.5672
0.09,2349.4092
0.1,2680.319
0.11,2954.3441000000003
0.12,3240.4091999999996
0.13,3562.2146000000002
0.14,3915.602
0.15,4263.635
0.16,4567.3768
0.17,4833.808100000002
0.18,5222.921
0.19,5504.1873
0.2,5775.992000000001
0.21,6093.369500000001
0.22,6368.565000000001
0.23,6660.7913
0.24,6963.822799999999
0.25,7252.56
0.26,7554.5504
0.27,7859.621799999999
0.28,8145.782800000001
0.29,8447.9475
0.3,8733.982999999998
0.31,9070.736400000002
0.32,9379.6664
0.33,9674.7145
0.34,9979.067600000002
0.35000000000000003,10300.456000000002
0.36,10596.035999999998
0.37,10891.4693
0.38,11135.3724
0.39,11357.9113
0.4,11663.352000000003
0.41000000000000003,11949.0184
0.42,12213.0972
0.43,12466.6948
0.44,12721.807600000002
0.45,12951.929499999998
0.46,13190.9784
0.47000000000000003,13437.594700000005
0.48,13674.7316
0.49,13930.6869
0.5,14209.215
0.51,14462.976999999999
0.52,14700.9848
0.53,14957.8232
0.54,15233.5186
0.55,15490.006000000001
0.56,15766.500800000003
0.5700000000000001,16021.98
0.58,16297.399199999998
0.59,16557.1468
0.6,16819.11
0.61,17016.981099999997
0.62,17252.0174
0.63,17540.6872
0.64,17796.7844
0.65,18055.7975
0.66,18355.735999999997
0.67,18550.145600000007
0.68,18827.2828
0.6900000000000001,19083.9153
0.7000000000000001,19300.069000000003
0.71,19492.4505
0.72,19761.0552
0.73,20003.084600000002
0.74,20256.9196
0.75,20471.725
0.76,20744.266
0.77,21011.1297
0.78,21303.138400000003
0.79,21574.023599999997
0.8,21845.500000000004
0.81,22104.504600000004
0.8200000000000001,22373.912
0.8300000000000001,22654.826399999998
0.84,22939.046399999996
0.85,23188.3955
0.86,23521.153399999992
0.87,23788.367299999998
0.88,24141.474800000007
0.89,24555.3176
0.9,24911.902000000006
0.91,25263.002
0.92,25719.054799999998
0.93,26205.582799999996
0.9400000000000001,26683.847200000004
0.9500000000000001,27205.397000000004
0.96,27711.07639999999
0.97,28425.0089
0.98,29233.1352
0.99,30286.183100000006
1,34825.09
