q,ic50
0,21.47
0.01,802.6696000000001
0.02,1436.6854
0.03,2049.5751
0.04,2703.1896000000006
0.05,3329.9695
0.06,4001.6931999999997
0.07,4607.4839
0.08,5222.3588
0.09,5926.2389
0.1,6475.549000000002
0.11,7109.9141
0.12,7807.3992
0.13,8356.3111
0.14,8967.6494
0.15,9511.476999999999
0.16,10107.004000000003
0.17,10700.5373
0.18,11269.7564
0.19,11791.7698
0.2,12336.806
0.21,12896.4454
0.22,13397.101600000002
0.23,13850.5385
0.24,14394.592799999999
0.25,14932.725
0.26,15457.114400000002
0.27,15909.9795
0.28,16467.688000000002
0.29,16943.2853
0.3,17422.984
0.31,17869.7203
0.32,18286.016000000003
0.33,18776.5995
0.34,19278.4844
0.35000000000000003,19679.550000000003
0.36,20124.9772
0.37,20516.3088
0.38,20869.743
0.39,21229.403700000003
0.4,21704.453999999998
0.41000000000000003,22057.1551
0.42,22505.6322
0.43,22915.904599999998
0.44,23264.2004
0.45,23673.120000000003
0.46,24037.3134
0.47000000000000003,24400.007100000003
0.48,24772.588799999998
0.49,25134.162300000004
0.5,25475.9
0.51,25849.100099999996
0.52,26170.14160000001
0.53,26553.648999999998
0.54,26949.856200000002
0.55,27289.245
0.56,27632.7768
0.5700000000000001,27938.183900000004
0.58,28227.453599999997
0.59,28511.0076
0.6,28781.873999999996
0.61,29092.5159
0.62,29392.728199999998
0.63,29672.3113
0.64,29948.368000000002
0.65,30259.814000000002
0.66,30537.9654
0.67,30901.07850000001
0.68,31223.166000000005
0.6900000000000001,31517.1654
0.7000000000000001,31825.968999999997
0.71,32133.8501
0.72,32414.908799999997
0.73,32697.2532
0.74,33057.4816
0.75,33349.5625
0.76,33688.5276
0.77,34048.5214
0.78,34374.448800000006
0.79,34639.2998
0.8,34903.268000000004
0.81,35198.9774
0.8200000000000001,35479.82920000001
0.8300000000000001,35762.0155
0.84,36039.313200000004
0.85,36318.19899999999
0.86,36636.165799999995
0.87,36914.107299999996
0.88,37184.05
0.89,37482.0385
0.9,37733.144
0.91,38044.9464
0.92,38451.4508
0.93,38789.6345
0.9400000000000001,39211.678000000014
0.9500000000000001,39590.635500000004
0.96,40026.35919999999
0.97,40530.30709999998
0.98,41095.8332
0.99,41827.2555
1,44046.35
