q,ic50
0,95.04
0.01,2193.3042000000005
0.02,3355.3588
0.03,4265.2343
0.04,4992.3788
0.05,5707.1265
0.06,6422.633599999999
0.07,7130.4072
0.08,7721.3564
0.09,8325.6331
0.1,8912.741
0.11,9448.9442
0.12,9950.8984
0.13,10383.9288
0.14,10888.319400000002
0.15,11381.382999999998
0.16,11855.164799999999
0.17,12337.946
0.18,12821.6652
0.19,13230.864099999999
0.2,13659.784
0.21,14144.652
0.22,14621.4498
0.23,14974.4386
0.24,15317.754
0.25,15745.664999999999
0.26,16159.906
0.27,16498.0458
0.28,16849.889199999998
0.29,17205.360499999995
0.3,17603.863999999998
0.31,17944.553099999997
0.32,18268.057200000003
0.33,18703.025500000003
0.34,19075.819000000003
0.35000000000000003,19419.6925
0.36,19727.4684
0.37,20030.415100000002
0.38,20323.62
0.39,20691.832300000002
0.4,21013.324
0.41000000000000003,21336.867000000002
0.42,21621.151599999997
0.43,21918.512799999997
0.44,22241.884400000003
0.45,22527.1145
0.46,22774.1668
0.47000000000000003,23075.847100000006
0.48,23386.751599999996
0.49,23746.2025
0.5,24056.35
0.51,24340.8352
0.52,24649.038800000002
0.53,24926.1477
0.54,25236.9374
0.55,25518.737500000003
0.56,25832.282400000004
0.5700000000000001,26078.1312
0.58,26377.896399999998
0.59,26649.680200000003
0.6,26915.553999999996
0.61,27181.6797
0.62,27472.932399999998
0.63,27723.4096
0.64,28048.670000000002
0.65,28303.1615
0.66,28585.461600000002
0.67,28856.831500000004
0.68,29136.066
0.6900000000000001,29436.8358
0.7000000000000001,29798.491
0.71,30058.9554
0.72,30344.092
0.73,30614.742299999998
0.74,30911.0714
0.75,31260.942499999997
0.76,31527.4024
0.77,31788.203700000002
0.78,32096.7964
0.79,32374.8624
0.8,32656.18
0.81,32972.58080000001
0.8200000000000001,33267.253600000004
0.8300000000000001,33620.0797
0.84,33929.7284
0.85,34260.037000000004
0.86,34558.8682
0.87,34949.2841
0.88,35313.546
0.89,35664.8681
0.9,36027.471
0.91,36513.706399999995
0.92,36905.2768
0.93,37415.8183
0.9400000000000001,37876.91240000003
0.9500000000000001,38363.975500000015
0.96,38873.55759999999
0.97,39499.639099999964
0.98,40290.3978
0.99,41324.1284
1,45590.28
