q,ic50
0,14.92
0.01,112.0657
0.02,175.7998
0.03,216.53099999999998
0.04,256.7612
0.05,298.4585
0.06,341.90639999999996
0.07,376.6247000000001
0.08,410.884
0.09,448.8431
0.1,489.419
0.11,526.5267
0.12,568.2264
0.13,606.2756999999999
0.14,640.652
0.15,680.2504999999999
0.16,716.5568000000001
0.17,746.7183000000001
0.18,789.6358
0.19,830.8181000000001
0.2,872.268
0.21,912.3306
0.22,957.1468
0.23,1000.1711
0.24,1047.8668
0.25,1089.83
0.26,1135.2630000000001
0.27,1182.0084
0.28,1228.2688
0.29,1271.0167999999999
0.3,1322.6680000000001
0.31,1367.7076
0.32,1410.0124
0.33,1456.3407
0.34,1504.1168000000002
0.35000000000000003,1551.6825000000001
0.36,1599.1948000000002
0.37,1649.3615
0.38,1707.609
0.39,1760.9754
0.4,1812.6500000000003
0.41000000000000003,1854.9812
0.42,1911.5077999999999
0.43,1970.2224999999999
0.44,2015.9164
0.45,2073.178
0.46,2132.2850000000003
0.47000000000000003,2193.2811000000006
0.48,2251.6924
0.49,2311.8665
0.5,2378.21
0.51,2442.0995999999996
0.52,2502.3436
0.53,2557.1987
0.54,2635.87
0.55,2709.1535
0.56,2794.1268000000005
0.5700000000000001,2867.3723
0.58,2936.381
0.59,3020.7527
0.6,3089.652
0.61,3164.0955999999996
0.62,3238.9818
0.63,3316.5485
0.64,3388.8436
0.65,3460.864
0.66,3558.6602000000003
0.67,3653.1402000000007
0.68,3755.8368000000005
0.6900000000000001,3865.9255000000003
0.7000000000000001,3968.9080000000004
0.71,4064.4782999999998
0.72,4194.9248
0.73,4316.1885
0.74,4431.610000000001
0.75,4543.407499999999
0.76,4674.361999999999
0.77,4807.0928
0.78,4946.276600000001
0.79,5081.595499999999
0.8,5247.278000000002
0.81,5416.605000000001
0.8200000000000001,5575.8018
0.8300000000000001,5723.458
0.84,5946.912
0.85,6147.605
0.86,6349.578799999996
0.87,6567.016500000001
0.88,6797.0772
0.89,7051.0622
0.9,7330.534000000001
0.91,7647.2226
0.92,7984.292399999999
0.93,8323.628299999998
0.9400000000000001,8694.303600000001
0.9500000000000001,9150.728000000003
0.96,9680.029999999995
0.97,10333.876399999992
0.98,11458.7428
0.99,13194.123300000001
1,19448.95
