q,ic50
0,115.14
0.01,1532.8417000000002
0.02,2247.1514
0.03,2873.647
0.04,3434.5072000000005
0.05,3957.4145
0.06,4475.695199999999
0.07,5015.189600000001
0.08,5488.438800000001
0.09,5955.6288
0.1,6293.145
0.11,6756.2856
0.12,7141.166399999999
0.13,7594.3933
0.14,8037.342000000001
0.15,8365.186
0.16,8740.0108
0.17,9111.6092
0.18,9467.3782
0.19,9748.6788
0.2,10113.262
0.21,10485.1678
0.22,10834.1682
0.23,11153.918099999999
0.24,11503.9484
0.25,11890.32
0.26,12245.262400000001
0.27,12578.443
0.28,12881.9548
0.29,13289.509799999993
0.3,13540.125999999997
0.31,13876.9764
0.32,14218.190400000003
0.33,14578.3574
0.34,14876.0128
0.35000000000000003,15222.309500000003
0.36,15614.9816
0.37,15939.532600000002
0.38,16287.3488
0.39,16682.6567
0.4,17034.762000000002
0.41000000000000003,17400.883100000003
0.42,17727.3092
0.43,18161.8627
0.44,18506.8756
0.45,18891.2675
0.46,19221.759
0.47000000000000003,19505.7728
0.48,19811.7564
0.49,20175.8926
0.5,20505.114999999998
0.51,20857.9846
0.52,21191.272
0.53,21545.9273
0.54,21845.9742
0.55,22183.652000000002
0.56,22519.470000000005
0.5700000000000001,22841.403700000003
0.58,23162.400999999998
0.59,23516.695
0.6,23835.712
0.61,24095.778699999995
0.62,24399.1274
0.63,24704.266799999998
0.64,25055.582400000007
0.65,25375.406
0.66,25681.8116
0.67,26022.765100000004
0.68,26337.732000000004
0.6900000000000001,26727.6045
0.7000000000000001,27063.929
0.71,27390.9593
0.72,27756.9024
0.73,28139.2368
0.74,28498.7218
0.75,28820.434999999998
0.76,29181.0564
0.77,29513.134900000005
0.78,29901.365
0.79,30261.650499999996
0.8,30623.188000000006
0.81,31022.632900000004
0.8200000000000001,31420.983
0.8300000000000001,31800.7907
0.84,32182.2648
0.85,32552.742
0.86,33024.608199999995
0.87,33397.7489
0.88,33877.28560000001
0.89,34348.5341
0.9,34803.727
0.91,35272.4151
0.92,35671.316399999996
0.93,36257.3199
0.9400000000000001,36918.38640000002
0.9500000000000001,37487.87000000001
0.96,38209.7492
0.97,38964.633699999955
0.98,39834.93580000001
0.99,41030.17140000001
1,44411.24
