q,ic50
0,26.04
0.01,364.0793
0.02,664.1518
0.03,931.8166
0.04,1152.3992000000003
0.05,1395.9185
0.06,1636.0125999999998
0.07,1848.3873
0.08,2110.2984
0.09,2395.065
0.1,2634.6660000000006
0.11,2855.7050000000013
0.12,3133.284799999999
0.13,3418.481800000001
0.14,3761.4266000000007
0.15,4063.001
0.16,4399.296
0.17,4687.8532
0.18,4969.4864
0.19,5320.107599999999
0.2,5650.274000000001
0.21,5973.200699999999
0.22,6238.7164
0.23,6584.9418000000005
0.24,6894.832
0.25,7247.3325
0.26,7554.1066
0.27,7878.676600000001
0.28,8268.1368
0.29,8615.273
0.3,8901.262999999999
0.31,9340.104000000001
0.32,9692.694
0.33,10092.4691
0.34,10490.497600000002
0.35000000000000003,10879.951000000003
0.36,11265.863599999999
0.37,11613.699
0.38,12038.3096
0.39,12340.4982
0.4,12785.60000000001
0.41000000000000003,13225.2725
0.42,13603.6152
0.43,13982.357199999999
0.44,14411.077200000002
0.45,14824.668000000001
0.46,15160.466799999998
0.47000000000000003,15560.241800000003
0.48,15956.5048
0.49,16393.2522
0.5,16727.574999999997
0.51,17177.615099999995
0.52,17585.3188
0.53,17984.4401
0.54,18376.287000000004
0.55,18912.538500000002
0.56,19354.3528
0.5700000000000001,19835.362800000003
0.58,20290.153
0.59,20736.6495
0.6,21213.072
0.61,21730.910599999996
0.62,22227.5296
0.63,22891.275800000003
0.64,23409.804
0.65,23799.784
0.66,24241.8268
0.67,24675.994300000006
0.68,25142.545600000005
0.6900000000000001,25732.526300000005
0.7000000000000001,26214.20400000002
0.71,26696.117599999998
0.72,27161.871199999998
0.73,27672.402499999997
0.74,28137.525200000004
0.75,28618.425
0.76,29135.088
0.77,29647.945200000002
0.78,30133.184400000002
0.79,30682.5753
0.8,31110.11200000001
0.81,31655.550600000002
0.8200000000000001,32187.9652
0.8300000000000001,32739.751800000002
0.84,33270.2432
0.85,33888.82199999999
0.86,34411.83899999999
0.87,34981.3096
0.88,35595.746
0.89,36142.7875
0.9,36769.992000000006
0.91,37467.6891
0.92,38208.3644
0.93,38959.669799999996
0.9400000000000001,39751.42420000002
0.9500000000000001,40419.775499999996
0.96,41249.748
0.97,42324.19999999999
0.98,43401.32780000001
0.99,44597.2381
1,47596.09
