q,ic50
0,154.28
0.01,1662.2548000000002
0.02,2408.0750000000003
0.03,2876.8925000000004
0.04,3330.54
0.05,3833.216
0.06,4279.213000000001
0.07,4652.726900000001
0.08,5044.304800000001
0.09,5496.6822
0.1,5812.576
0.11,6111.003200000001
0.12,6420.4288
0.13,6687.5538
0.14,6961.763400000001
0.15,7248.99
0.16,7521.1332
0.17,7761.569400000002
0.18,8016.096799999999
0.19,8276.266099999999
0.2,8536.181999999999
0.21,8742.7607
0.22,8966.9026
0.23,9240.5653
0.24,9464.7436
0.25,9705.22
0.26,9918.059400000002
0.27,10168.9049
0.28,10404.3856
0.29,10598.762600000002
0.3,10815.268999999998
0.31,11030.8242
0.32,11227.793200000002
0.33,11445.7634
0.34,11653.144400000001
0.35000000000000003,11830.3155
0.36,12039.194800000001
0.37,12232.4936
0.38,12431.0892
0.39,12661.8058
0.4,12843.852000000003
0.41000000000000003,13048.0404
0.42,13228.285800000001
0.43,13451.127
0.44,13682.581600000001
0.45,13869.927
0.46,14020.2834
0.47000000000000003,14279.698200000003
0.48,14506.968
0.49,14674.802200000002
0.5,14870.974999999999
0.51,15048.9237
0.52,15273.1252
0.53,15493.4307
0.54,15677.0978
0.55,15844.167000000001
0.56,16043.231200000002
0.5700000000000001,16238.2877
0.58,16455.2756
0.59,16707.413
0.6,16897.38
0.61,17140.208
0.62,17372.7806
0.63,17582.7702
0.64,17803.734400000005
0.65,18018.2575
0.66,18276.7042
0.67,18459.7012
0.68,18689.7536
0.6900000000000001,18893.305800000002
0.7000000000000001,19129.736000000004
0.71,19358.8912
0.72,19580.352799999997
0.73,19819.3029
0.74,20065.6574
0.75,20335.442499999997
0.76,20552.5632
0.77,20764.4278
0.78,21027.815200000005
0.79,21301.0872
0.8,21614.066000000003
0.81,21890.885000000002
0.8200000000000001,22159.378
0.8300000000000001,22420.7208
0.84,22652.999600000003
0.85,22949.926499999998
0.86,23268.036799999998
0.87,23595.6592
0.88,23945.4192
0.89,24277.6371
0.9,24693.768000000004
0.91,25148.5276
0.92,25589.2
0.93,26018.543
0.9400000000000001,26557.7632
0.9500000000000001,27173.240500000014
0.96,27846.6032
0.97,28684.467899999963
0.98,29539.6296
0.99,30918.642500000005
1,35737.65
