q,ic50
0,2
0.01,592.5749000000001
0.02,1750.0980000000006
0.03,3449.5023999999994
0.04,4847.0892
0.05,6271.000000000001
0.06,7603.6856
0.07,8972.287
0.08,10457.2144
0.09,11798.1892
0.1,13004.969000000003
0.11,14051.4812
0.12,15151.195600000001
0.13,16198.4695
0.14,17175.0802
0.15,18091.962499999998
0.16,19046.727600000002
0.17,19995.178300000003
0.18,20683.386399999996
0.19,21571.199
0.2,22355.366
0.21,23270.3857
0.22,23925.894600000003
0.23,24565.841
0.24,25070.1556
0.25,25668.3175
0.26,26257.735000000004
0.27,26736.451
0.28,27246.0624
0.29,27728.1472
0.3,28242.379999999997
0.31,28700.3799
0.32,29110.3
0.33,29487.5415
0.34,29919.180200000003
0.35000000000000003,30300.7255
0.36,30640.9908
0.37,31017.607300000003
0.38,31364.2514
0.39,31661.807699999998
0.4,31970.436
0.41000000000000003,32242.5706
0.42,32552.5218
0.43,32833.945
0.44,33112.140400000004
0.45,33358.5465
0.46,33596.3808
0.47000000000000003,33838.980800000005
0.48,34094.7536
0.49,34311.1659
0.5,34518.71000000001
0.51,34772.6432
0.52,34961.298800000004
0.53,35188.3393
0.54,35394.1836
0.55,35584.868
0.56,35773.2808
0.5700000000000001,35974.321200000006
0.58,36159.667799999996
0.59,36376.5358
0.6,36548.5
0.61,36748.3591
0.62,36933.51
0.63,37076.0444
0.64,37269.075600000004
0.65,37459.072
0.66,37620.2246
0.67,37793.9293
0.68,37955.6516
0.6900000000000001,38100.114100000006
0.7000000000000001,38271.612
0.71,38448.662500000006
0.72,38590.39
0.73,38763.72379999999
0.74,38934.2864
0.75,39109.46
0.76,39275.55
0.77,39420.337100000004
0.78,39561.224799999996
0.79,39730.342000000004
0.8,39906.03400000001
0.81,40073.3437
0.8200000000000001,40231.0284
0.8300000000000001,40390.2919
0.84,40573.08559999999
0.85,40753.773
0.86,40906.585999999996
0.87,41098.6485
0.88,41244.0628
0.89,41441.0266
0.9,41635.606999999996
0.91,41810.1632
0.92,42017.244
0.93,42185.087199999994
0.9400000000000001,42360.3588
0.9500000000000001,42563.079000000005
0.96,42780.4304
0.97,43007.76769999999
0.98,43349.953400000006
0.99,43734.2817
1,44790.14
